,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,show,projectrank_placing,updated_github_id
0,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,2026-05-03 14:55:37,2026-05-03 14:19:55,103560.0,4591.0,27281.0,1768.0,123323.0,18091,42119.0,99597,2026-03-23 18:38:28,2.11.0,260804.0,81924461.0,65.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,890276.0,853741.0,6471,56,https://pypi.org/project/torch,BSD-3-Clause,2026-03-23 18:07:33,36535.0,81922213.0,True,1,
1,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,2010-09-13 23:02:39,2026-05-02 02:23:20,2026-05-02 02:23:20,41160.0,473.0,12306.0,598.0,17404.0,2346,11798.0,31952,2026-03-29 13:38:41,2.4.4,1382080.0,896146517.0,189.0,The fundamental package for scientific computing with Python.,3801530.0,3623977.0,2074,51,https://pypi.org/project/numpy,,2026-03-29 13:18:15,177553.0,896129023.0,True,2,
2,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,https://github.com/dask/dask,2015-01-04 18:50:00,2026-04-28 16:39:15,2026-04-28 16:39:15,9747.0,38.0,1868.0,202.0,6536.0,1247,4497.0,13820,2026-03-19 09:37:40,2026.3.0,,26289839.0,233.0,Parallel computing with task scheduling.,82746.0,79226.0,644,45,https://pypi.org/project/dask,BSD-3-Clause,2026-03-18 07:10:12,3520.0,26289839.0,True,2,
3,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,https://github.com/pydata/xarray,2013-09-30 17:21:10,2026-04-29 06:17:32,2026-04-28 09:17:42,6423.0,94.0,1246.0,97.0,5292.0,1343,3943.0,4142,2026-04-13 19:44:11,2026.04.0,,19811890.0,105.0,N-D labeled arrays and datasets in Python.,49757.0,44062.0,608,40,https://pypi.org/project/xarray,Apache-2.0,2026-04-13 19:45:34,5695.0,19811890.0,True,1,
4,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,2018-10-25 21:25:02,2026-05-03 11:41:05,2026-05-03 11:40:59,35536.0,2420.0,3529.0,329.0,26962.0,2236,5339.0,35535,2026-04-16 13:09:00,jax-v0.10.0,,,191.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",53240.0,49121.0,1057,38,https://pypi.org/project/jax,Apache-2.0,2026-04-16 12:32:11,4119.0,,True,2,
5,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,2021-01-19 08:37:25,2026-02-07 22:20:29,2026-02-07 22:20:28,19095.0,2.0,5638.0,63.0,11830.0,977,15966.0,14217,2025-06-16 00:11:47,1.0.0.5,,35953.0,138.0,Convert Machine Learning Code Between Frameworks.,16.0,,1486,31,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,16.0,35953.0,True,3,unifyai/ivy
6,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,https://github.com/pydata/sparse,2017-04-16 16:12:10,2026-04-27 19:34:28,2026-04-22 07:34:20,754.0,11.0,134.0,15.0,595.0,73,265.0,658,2026-02-19 06:17:53,0.18.0,,1389738.0,43.0,Sparse multi-dimensional arrays for the PyData ecosystem.,2612.0,2301.0,63,30,https://pypi.org/project/sparse,BSD-3-Clause,2026-02-19 06:17:53,311.0,1389738.0,True,3,
7,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27,2026-04-29 13:26:11,2026-04-28 07:41:00,8148.0,138.0,65.0,7.0,1392.0,82,796.0,238,2026-03-26 15:13:38,1.8.0,92.0,1173.0,28.0,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,81.0,81.0,68,28,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,,1172.0,True,1,
8,cupy/cupy,CuPy,backend,cupy,['noncpu'],https://github.com/cupy/cupy,https://github.com/cupy/cupy,2016-11-01 09:54:45,2026-03-23 09:07:29,,,,1007.0,,,661,,10862,2026-02-20 10:25:27,14.0.1,,37341.0,149.0,NumPy & SciPy for GPU.,529.0,,371,26,https://pypi.org/project/cupy,MIT,2026-02-20 10:25:27,529.0,37341.0,True,3,
9,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,,https://github.com/wilsonrljr/sysidentpy,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59,2026-04-04 19:24:56,2026-04-04 19:23:08,1138.0,15.0,98.0,14.0,154.0,9,59.0,497,2026-03-28 12:28:42,0.8.0,,780.0,29.0,A Python Package For System Identification Using NARMAX Models.,33.0,28.0,21,23,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-03-28 12:28:42,5.0,780.0,True,3,
10,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09,2026-04-29 06:45:17,2026-04-29 06:45:16,1180.0,69.0,41.0,16.0,285.0,38,109.0,121,2026-02-26 12:02:45,1.14,273.0,7.0,22.0,Compatibility layer for common array libraries to support the Array API.,904.0,732.0,28,23,https://pypi.org/project/array-api-compat,MIT,2026-02-26 12:02:41,172.0,,True,1,
11,data-apis/array-api-extra,array-api-extra,core,array-api-extra,,https://github.com/data-apis/array-api-extra,https://github.com/data-apis/array-api-extra,2024-09-20 07:39:49,2026-05-01 13:27:30,2026-05-01 13:27:28,738.0,107.0,18.0,4.0,607.0,43,60.0,28,2026-02-27 17:14:45,0.10.1,,16728.0,22.0,Extra array functions built on top of the array API standard.,61.0,29.0,18,23,https://pypi.org/project/array-api-extra,MIT,2026-02-27 17:14:45,32.0,16728.0,True,1,
12,data-apis/array-api,Array API standard,definition,,,https://github.com/data-apis/array-api,https://github.com/data-apis/array-api,2020-05-10 15:44:24,2026-04-23 17:13:42,2026-04-23 17:10:58,816.0,17.0,54.0,31.0,579.0,93,318.0,267,,,,,,"RFC document, tooling and other content related to the array API standard.",4.0,4.0,38,18,,MIT,,,,True,1,
13,Quantco/ndonnx,ndonnx,backend,ndonnx,['noncpu'],https://github.com/Quantco/ndonnx,https://github.com/Quantco/ndonnx,2024-06-10 11:52:01,2026-05-01 02:06:11,2026-04-22 12:53:50,169.0,17.0,3.0,9.0,176.0,4,29.0,67,2026-04-22 14:04:55,0.18.1,,,25.0,ONNX-backed array library that is compliant with the Array API standard.,32.0,28.0,22,18,https://pypi.org/project/ndonnx,BSD-3-Clause,2026-04-22 14:04:55,4.0,,True,3,
