,github_id,name,category,pypi_id,labels,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,show,projectrank_placing,trending,pypi_monthly_downloads,updated_github_id
0,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,2026-06-04 19:59:53,2026-06-04 19:44:35,105545.0,5023.0,27930.0,1770.0,126598.0,18279,43596.0,100381,2026-05-13 17:38:06,2.12.0,287606.0,2458.0,66.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,900076.0,859709.0,6603,51,https://pypi.org/project/torch,BSD-3-Clause,2026-05-13 14:55:53,40367.0,True,1,-5.0,,
1,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,https://github.com/numpy/numpy,2010-09-13 23:02:39,2026-06-04 18:44:18,2026-06-04 18:44:11,41277.0,431.0,12403.0,602.0,17556.0,2383,11829.0,32149,2026-05-19 01:01:30,2.4.6,1212965.0,977789882.0,192.0,The fundamental package for scientific computing with Python.,3832934.0,3641428.0,2089,51,https://pypi.org/project/numpy,,2026-06-02 12:56:22,191506.0,True,1,5.0,977774332.0,
2,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,https://github.com/pydata/xarray,2013-09-30 17:21:10,2026-06-04 01:19:19,2026-06-03 18:16:25,6435.0,60.0,1271.0,96.0,5329.0,1381,3948.0,4156,2026-04-13 19:44:11,2026.04.0,,20057720.0,105.0,N-D labeled arrays and datasets in Python.,50143.0,44448.0,609,40,https://pypi.org/project/xarray,Apache-2.0,2026-04-13 19:45:34,5695.0,True,1,,20057720.0,
3,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,2018-10-25 21:25:02,2026-06-04 19:59:50,2026-06-04 19:46:16,36189.0,2201.0,3581.0,330.0,27654.0,2384,5397.0,35753,2026-05-20 15:07:07,jax-v0.10.1,,,192.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",53970.0,49569.0,1074,38,https://pypi.org/project/jax,Apache-2.0,2026-05-20 14:51:30,4401.0,True,2,,,
4,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,https://github.com/dask/dask,2015-01-04 18:50:00,2026-06-04 18:24:23,2026-06-04 18:24:19,9805.0,73.0,1880.0,203.0,6599.0,1242,4513.0,13848,2026-03-19 09:37:40,2026.3.0,,,233.0,Parallel computing with task scheduling.,83077.0,79557.0,651,38,https://pypi.org/project/dask,BSD-3-Clause,2026-03-18 07:10:12,3520.0,True,2,,,
5,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,2021-01-19 08:37:25,2026-05-27 08:28:41,2026-02-07 22:20:28,19095.0,,5638.0,63.0,11831.0,977,15966.0,14217,2025-06-16 00:11:47,1.0.0.5,,27190.0,138.0,Convert Machine Learning Code Between Frameworks.,16.0,,1486,33,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,16.0,True,3,4.0,27190.0,unifyai/ivy
6,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,https://github.com/helmholtz-analytics/heat,2018-05-17 12:16:27,2026-06-04 13:42:52,2026-06-04 13:40:17,8182.0,117.0,65.0,7.0,1442.0,82,806.0,240,2026-03-26 15:13:38,1.8.0,94.0,1173.0,28.0,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,81.0,81.0,69,28,https://pypi.org/project/heat,MIT,2026-03-26 15:13:14,,True,1,,1172.0,
7,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,https://github.com/data-apis/array-api-compat,2022-09-26 19:31:09,2026-05-28 16:51:08,2026-05-28 16:51:08,1188.0,30.0,41.0,16.0,289.0,38,110.0,122,2026-02-26 12:02:45,1.14,281.0,1900203.0,22.0,Compatibility layer for common array libraries to support the Array API.,952.0,780.0,28,28,https://pypi.org/project/array-api-compat,MIT,2026-02-26 12:02:41,172.0,True,1,,1900196.0,
8,cupy/cupy,CuPy,backend,cupy,['noncpu'],https://github.com/cupy/cupy,https://github.com/cupy/cupy,2016-11-01 09:54:45,2026-06-01 04:55:30,,,,1035.0,,,678,,10973,2026-06-01 04:55:30,14.1.1,,40010.0,151.0,NumPy & SciPy for GPU.,581.0,,380,26,https://pypi.org/project/cupy,MIT,2026-06-01 04:55:30,581.0,True,3,,40010.0,
9,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,,https://github.com/wilsonrljr/sysidentpy,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59,2026-04-04 19:24:56,2026-04-04 19:23:08,1138.0,15.0,99.0,15.0,155.0,9,59.0,509,2026-03-28 12:28:42,0.8.0,,1352.0,29.0,A Python Package For System Identification Using NARMAX Models.,33.0,28.0,21,24,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-03-28 12:28:42,5.0,True,3,3.0,1352.0,
