,github_id,name,category,pypi_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,license,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,show,projectrank_placing,pypi_monthly_downloads,monthly_downloads,trending,labels
0,numpy/numpy,NumPy,backend,numpy,https://github.com/numpy/numpy,3870344.0,3671819.0,2117,https://github.com/numpy/numpy,2010-09-13 23:02:39.000,2026-07-13 13:30:24,32,12563.0,2398.0,32355,The fundamental package for scientific computing with Python.,https://pypi.org/project/numpy,,2026-07-04 17:06:12,2026-07-04 17:06:12.000,2.5.1,194.0,198525.0,True,1,,,,
1,pydata/xarray,xarray,utility,xarray,https://github.com/pydata/xarray,51502.0,45189.0,621,https://github.com/pydata/xarray,2013-09-30 17:21:10.000,2026-07-09 17:38:24,32,1271.0,1381.0,4154,N-D labeled arrays and datasets in Python.,https://pypi.org/project/xarray,Apache-2.0,2026-07-09 17:38:24,2026-04-13 19:45:34.000,2026.4.0,106.0,6313.0,True,1,20140940.0,20140940.0,6.0,
2,pytorch/pytorch,PyTorch,backend,torch,https://github.com/pytorch/pytorch,914268.0,870091.0,6782,https://github.com/pytorch/pytorch,2016-08-13 05:26:41.000,2026-07-17 18:27:40,29,28429.0,18353.0,101731,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,https://pypi.org/project/torch,,2026-07-08 16:02:16,2026-07-08 16:02:16.000,2.13.0,60.0,44177.0,True,2,,,-8.0,['noncpu']
3,jax-ml/jax,JAX,backend,jax,https://github.com/jax-ml/jax,55498.0,50602.0,1100,https://github.com/jax-ml/jax,2018-10-25 21:25:02.000,2026-07-27 08:16:17,27,3694.0,2516.0,36057,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",https://pypi.org/project/jax,Apache-2.0,2026-07-16 18:58:25,2026-07-16 18:58:25.000,0.11.0,194.0,4896.0,True,2,,,-7.0,['noncpu']
4,dask/dask,Dask,backend,dask,https://github.com/dask/dask,83878.0,80106.0,655,https://github.com/dask/dask,2015-01-04 18:50:00.000,2026-07-20 22:02:49,27,1913.0,1271.0,13866,Parallel computing with task scheduling.,https://pypi.org/project/dask,BSD-3-Clause,2026-07-14 01:27:48,2026-07-14 01:27:48.000,2026.1.3,238.0,3772.0,True,2,,,-8.0,['noncpu']
5,cupy/cupy,CuPy,backend,cupy,https://github.com/cupy/cupy,8371.0,7790.0,461,https://github.com/cupy/cupy,2016-11-01 09:54:45.000,2026-07-30 14:12:44,25,1121.0,705.0,12224,NumPy & SciPy for GPU.,https://pypi.org/project/cupy,MIT,2026-06-01 04:55:30,2026-06-01 04:55:30.000,14.1.1,151.0,581.0,True,3,,,,['noncpu']
6,data-apis/array-api-extra,array-api-extra,core,array-api-extra,https://github.com/data-apis/array-api-extra,75.0,43.0,25,https://github.com/data-apis/array-api-extra,2024-09-24 20:29:02.639,2026-06-10 09:56:03,21,21.0,52.0,29,Extra array functions built on top of the array API standard.,https://pypi.org/project/array-api-extra,MIT,2026-06-10 09:56:03,2026-06-10 09:56:03.000,0.11.0,24.0,32.0,True,1,97062.0,97062.0,5.0,
7,ivy-llc/ivy,Ivy,backend,ivy,https://github.com/ivy-llc/ivy,16.0,,1485,https://github.com/ivy-llc/ivy,2021-01-19 08:37:25.000,2025-06-16 00:22:14,20,5638.0,977.0,14217,Convert Machine Learning Code Between Frameworks.,https://pypi.org/project/ivy,Apache-2.0,2025-06-16 00:12:14,2023-06-29 19:33:01.167,0.0.0,138.0,16.0,False,3,,,-4.0,['noncpu']
8,pydata/sparse,sparse,backend,sparse,https://github.com/pydata/sparse,2704.0,2368.0,64,https://github.com/pydata/sparse,2017-04-16 16:12:10.000,2026-07-02 07:32:54,19,138.0,74.0,664,Sparse multi-dimensional arrays for the PyData ecosystem.,https://pypi.org/project/sparse,BSD-3-Clause,2026-07-02 07:32:54,2026-07-02 07:32:54.000,0.19.0,44.0,336.0,True,3,,,,
9,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,https://github.com/wilsonrljr/sysidentpy,34.0,29.0,22,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59.000,2026-06-13 02:30:29,19,101.0,12.0,511,A Python Package For System Identification Using NARMAX Models.,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-06-13 02:30:29,2026-06-13 02:30:29.000,0.9.0,30.0,5.0,True,1,1321.0,1321.0,3.0,
