,github_id,name,category,pypi_id,labels,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,trending
0,jax-ml/jax,JAX,backend,jax,['noncpu'],https://github.com/jax-ml/jax,56150.0,50957.0,1117,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2026-08-26 21:04:47,34,3745.0,2489.0,36215,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",https://pypi.org/project/jax,2026-08-17 20:29:00,2026-08-17 20:29:00.000,0.11.1,195.0,5193.0,19978369.0,19978369.0,True,1,
1,numpy/numpy,NumPy,backend,numpy,,https://github.com/numpy/numpy,3892445.0,3685670.0,2122,https://github.com/numpy/numpy,,2010-09-13 23:02:39.000,2026-08-25 02:31:43,32,12673.0,2341.0,32598,The fundamental package for scientific computing with Python.,https://pypi.org/project/numpy,2026-08-09 13:44:51,2026-08-09 13:44:51.000,2.5.2,195.0,206775.0,,,True,2,-6.0
2,pytorch/pytorch,PyTorch,backend,torch,['noncpu'],https://github.com/pytorch/pytorch,918543.0,874366.0,6902,https://github.com/pytorch/pytorch,,2016-08-13 05:26:41.000,2026-08-09 19:57:43,29,28788.0,17002.0,102301,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,https://pypi.org/project/torch,2026-07-08 16:02:16,2026-07-08 16:02:16.000,2.13.0,60.0,44177.0,,,True,2,-8.0
3,dask/dask,Dask,backend,dask,['noncpu'],https://github.com/dask/dask,84206.0,80320.0,656,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2026-08-24 19:21:23,27,1933.0,1312.0,13895,Parallel computing with task scheduling.,https://pypi.org/project/dask,2026-08-24 19:21:23,2026-08-24 19:21:23.000,2026.8.0,239.0,3886.0,,,True,2,-8.0
4,pydata/xarray,xarray,utility,xarray,,https://github.com/pydata/xarray,51835.0,45522.0,633,https://github.com/pydata/xarray,Apache-2.0,2013-09-30 17:21:10.000,2026-07-09 17:38:24,26,1271.0,1381.0,4154,N-D labeled arrays and datasets in Python.,https://pypi.org/project/xarray,2026-07-09 17:38:24,2026-04-13 19:45:34.000,2026.4.0,106.0,6313.0,,,True,1,-6.0
5,cupy/cupy,CuPy,backend,cupy,['noncpu'],https://github.com/cupy/cupy,8579.0,7933.0,464,https://github.com/cupy/cupy,MIT,2016-11-01 09:54:45.000,2026-08-20 02:42:12,25,1128.0,708.0,12258,NumPy & SciPy for GPU.,https://pypi.org/project/cupy,2026-08-20 02:42:12,2026-08-20 02:42:12.000,14.2.0,152.0,646.0,,,True,3,
6,ivy-llc/ivy,Ivy,backend,ivy,['noncpu'],https://github.com/ivy-llc/ivy,16.0,,1486,https://github.com/ivy-llc/ivy,Apache-2.0,2021-01-19 08:37:25.000,2025-06-16 00:22:14,24,5638.0,977.0,14217,Convert Machine Learning Code Between Frameworks.,https://pypi.org/project/ivy,2025-06-16 00:12:14,2023-06-29 19:33:01.167,0.0.0,138.0,16.0,26800.0,26800.0,False,3,
7,data-apis/array-api-extra,array-api-extra,core,array-api-extra,,https://github.com/data-apis/array-api-extra,91.0,46.0,30,https://github.com/data-apis/array-api-extra,MIT,2024-09-24 20:29:02.639,2026-08-26 14:49:44,21,32.0,40.0,33,Extra array functions built on top of the array API standard.,https://pypi.org/project/array-api-extra,2026-08-26 14:49:44,2026-08-26 14:49:44.000,0.11.2,26.0,45.0,92081.0,92081.0,True,1,
8,pydata/sparse,sparse,backend,sparse,,https://github.com/pydata/sparse,2735.0,2388.0,65,https://github.com/pydata/sparse,BSD-3-Clause,2017-04-16 16:12:10.000,2026-08-14 09:37:25,19,138.0,74.0,666,Sparse multi-dimensional arrays for the PyData ecosystem.,https://pypi.org/project/sparse,2026-08-14 09:37:25,2026-08-14 09:37:25.000,0.19.2,46.0,347.0,,,True,3,
9,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,,https://github.com/wilsonrljr/sysidentpy,35.0,30.0,22,https://github.com/wilsonrljr/sysidentpy,BSD-3-Clause,2019-03-13 19:15:59.000,2026-06-13 02:30:29,18,101.0,12.0,511,A Python Package For System Identification Using NARMAX Models.,https://pypi.org/project/sysidentpy,2026-06-13 02:30:29,2026-06-13 02:30:29.000,0.9.0,30.0,5.0,871.0,871.0,True,1,
10,data-apis/array-api-compat,array-api-compat,core,array-api-compat,,https://github.com/data-apis/array-api-compat,1104.0,900.0,31,https://github.com/data-apis/array-api-compat,MIT,2022-09-26 19:31:09.000,2026-06-07 20:53:23,18,44.0,36.0,122,Compatibility layer for common array libraries to support the Array API.,https://pypi.org/project/array-api-compat,2026-06-07 20:53:23,2026-06-07 20:53:23.000,1.15.0,23.0,204.0,,,True,2,-6.0
11,helmholtz-analytics/heat,heat,ml,heat,,https://github.com/helmholtz-analytics/heat,82.0,82.0,70,https://github.com/helmholtz-analytics/heat,MIT,2018-05-17 12:16:27.000,2026-03-26 15:13:38,16,61.0,82.0,231,Distributed tensors and Machine Learning framework with GPU and MPI acceleration in Python.,https://pypi.org/project/heat,2026-03-26 15:13:14,2026-03-26 15:13:14.000,1.8.0,28.0,,,,True,3,
12,Quantco/ndonnx,ndonnx,backend,ndonnx,['noncpu'],https://github.com/Quantco/ndonnx,39.0,31.0,27,https://github.com/Quantco/ndonnx,BSD-3-Clause,2024-08-09 10:41:30.852,2026-08-07 15:05:09,14,3.0,4.0,69,ONNX-backed array library that is compliant with the Array API standard.,https://pypi.org/project/ndonnx,2026-08-07 15:05:09,2026-08-07 15:05:09.000,0.21.0,28.0,8.0,,,True,3,
